sb	name	pv	pos_peak	pos_avg	pos_ngy	neg_peak	neg_avg	neg_cnt	neg_ngy	mwh 	mw1	max pw	trxno	lat+long	DT	MT	E5:GWh	E2:GWh	SPP	VSPP	REPL
BBA	บ้านบึง 1	ชลบุรี	114.11	37.790188	145331.06	36.329998	12.241859	22949	16114.812	40	20	100	2	https://maps.google.com/?q=13.2194,101.2229	1256	14509	1016	908	0	8	1
BBB	บ้านบึง 2	ชลบุรี	114.77	41.7193	182711.94	8.38	4.7585716	17	6.1975	0	0	100	2	https://maps.google.com/?q=13.3088,101.1086	1169	22829	787	702	0	0	0
BBC	บ้านบึง 3 (ช)	ชลบุรี	34.68	9.705618	42361.75	14.74	5.3746986	203	58.072502	0	0	25	1	https://maps.google.com/?q=13.2802,101.1994	395	6810	275	246	0	2	0
BLA	บางละมุง	ชลบุรี	98.22	35.960617	157503.22	4.06	4.015	5	1.3625001	0	0	100	2	https://maps.google.com/?q=12.9381,100.9258	2164	56156	866	768	0	0	0
BNF	บึง 2	ชลบุรี	91.97	41.544003	181955.05	17.43	16.615	8	5.6475	0	0	100	2	https://maps.google.com/?q=13.0807,101.1200	1993	34941	1210	1080	1	0	0
BNG	บึง 1	ชลบุรี	87.57001	35.301575	154620.56	1.57	1.57	1	0.3925	0	0	90	2	https://maps.google.com/?q=13.0990,100.9682	1707	34978	995	887	0	0	0
BPE	บางพระ	ชลบุรี	109.96	41.36516	181176.92	0.41	0.41	2	0.1025	0	0	100	2	https://maps.google.com/?q=13.2404,100.9342	1740	38272	1134	1012	0	0	0
BSN	บางแสน 1	ชลบุรี	89.560005	31.44057	137709.7	0	0	0	0	0	0	100	2	https://maps.google.com/?q=13.3099,100.9538	1174	28926	890	794	0	0	0
BSO	บางแสน 2	ชลบุรี	63.11	26.870815	117694.164	0	0	0	0	0	0	100	2	https://maps.google.com/?q=13.3322,100.9356	1025	33971	452	401	0	0	0
BVU	บ่อทอง (ช)	ชลบุรี	28.880001	14.658112	63571.895	8.26	3.051484	35593	186.40248	0	0	25	1	https://maps.google.com/?q=13.3151,101.3231	992	12190	462	413	0	1	0
CBA	ชลบุรี 1	ชลบุรี	102.18	36.06011	157942.39	1.43	1.43	1	0.3575	0	0	100	2	https://maps.google.com/?q=13.3390,100.9914	991	29402	500	445	0	0	0
CBB	ชลบุรี 2	ชลบุรี	80.799995	39.579185	173197.23	2.08	2.08	209	16.999996	0	0	100	2	https://maps.google.com/?q=13.4097,100.9999	1778	47104	919	818	2	0	0
CBC	ชลบุรี 3	ชลบุรี	93.46999	35.99743	157603.97	1.0799999	0.5119828	99	7.745	0	0	100	2	https://maps.google.com/?q=13.4499,100.9991	1026	21139	1148	1025	0	0	0
CBD	ชลบุรี 4	ชลบุรี	59.700005	19.601627	85313.19	16.380001	10.046167	653	292.94998	0	0	100	2	https://maps.google.com/?q=13.3704,101.0349	757	22793	419	372	0	0	0
CHT	จอมเทียน 1	ชลบุรี	84.68001	22.43282	97744.26	5.11	2.4556336	498	79.43249	0	0	100	2	https://maps.google.com/?q=12.8588,100.9220	1213	24571	741	661	0	1	0
CHU	จอมเทียน 2	ชลบุรี	71.12	24.872105	108791.414	19.71	15.184103	224	256.7825	0	0	100	2	https://maps.google.com/?q=12.9000,100.8989	1028	33386	637	569	0	0	0
KMK	เขาไม้แก้ว	ชลบุรี	85.7	17.268679	75600.516	13.94	12.4133625	55	57.842503	0	0	100	2	https://maps.google.com/?q=12.9175,101.0316	1373	15494	852	761	2	0	0
KPO	เกาะโพธิ์	ชลบุรี	81.27	26.984753	118186.65	9.57	8.982666	11	12.184999	0	0	100	2	https://maps.google.com/?q=13.4187,101.2831	1270	21206	828	740	0	0	0
LCB	แหลมฉบัง 2	ชลบุรี	85.079994	33.307743	145870.92	0.82	0.438	15	1.6424999	0	0	100	2	https://maps.google.com/?q=13.0754,100.9206	1198	25264	718	640	1	0	0
PSA	พนัสนิคม	ชลบุรี	112.12001	35.92344	157343.14	0.34	0.34	1	0.085	0	0	100	2	https://maps.google.com/?q=16.0502,100.1166	1672	39543	613	546	0	1	0
PTP	พานทอง 2	ชลบุรี	88.479996	43.480858	190443.94	4.56	4.56	3	1.14	0	0	100	2	https://maps.google.com/?q=13.4213,101.1016	1844	43987	1871	1669	0	0	0
PYG	พัทยากลาง	ชลบุรี	90.52999	25.693464	112530.25	21.68	12.446385	22	7.9500003	0	0	150	3	https://maps.google.com/?q=12.9353,100.8912	541	6902	489	437	0	0	0
PYN	พัทยาเหนือ 1	ชลบุรี	95.920006	23.12507	101285.55	4.8199997	4.8199997	4	1.2049999	0	0	100	2	https://maps.google.com/?q=12.9561,100.9073	1096	25444	638	568	0	0	0
PYO	พัทยาเหนือ 2	ชลบุรี	72.83	34.158936	149550.97	15.31	8.037701	120	94.115005	0	0	100	2	https://maps.google.com/?q=12.9795,100.9576	172	4433	49	43	0	0	0
PYT	พัทยาใต้ 1	ชลบุรี	34.48	2.0686398	9060.161	17.18	12.224001	879	805.80756	0	0	100	2	https://maps.google.com/?q=12.9170,100.8673	1256	29930	944	843	0	0	0
PYU	พัทยาใต้ 2	ชลบุรี	101.619995	33.054077	144770.77	11.120001	9.66	8	2.7824998	0	0	100	2	https://maps.google.com/?q=12.9221,100.8834	858	16569	523	467	0	0	0
SCA	ศรีราชา 1	ชลบุรี	113.68001	46.851135	205151.19	8.32	6.70359	40	51.870003	0	0	100	2	https://maps.google.com/?q=13.1605,100.9435	1644	52505	789	701	0	0	0
ALA	อ่าวลึก	กระบี่	52.25	13.709565	58105.273	14.890001	6.656503	6701	899.04645	0	0	50	1	https://maps.google.com/?q=8.4204,98.7396	1810	36468	464	414	0	4	0
KBA	กระบี่ 1	กระบี่	94.009995	17.015186	62319.07	15.28	5.506432	18780	16241.087	18	9	100	2	https://maps.google.com/?q=8.0564,99.0204	1692	36039	454	406	0	6	0
KBB	กระบี่ 2	กระบี่	124.69	39.724766	173708	7.87	5.7575607	497	309.0225	0	0	100	2	https://maps.google.com/?q=8.0949,98.8894	2539	55142	1287	1150	0	0	0
KTM	คลองท่อม	กระบี่	69.67	19.63424	68855.85	36.130005	1.720919	23669	1463.4706	0	0	100	2	https://maps.google.com/?q=7.8659,99.1525	2039	41434	506	453	0	6	0
ARA	อรัญประเทศ 1	สระแก้ว	74.73	14.920713	60222.03	44.760002	15.192354	27282	13154.4375	17	8.5	90	2	https://maps.google.com/?q=13.7246,102.4759	1493	49973	366	325	0	0	0
ARB	อรัญประเทศ 2	สระแก้ว	64.92999	22.99501	100689.01	7.66	5.4789324	1011	542.82764	0	0	100	2	https://maps.google.com/?q=13.6746,102.5452	491	13838	185	165	0	0	0
SKW	สระแก้ว	สระแก้ว	81.53	23.753197	78215.12	38.99	12.36698	28370	16834.521	22	11	100	2	https://maps.google.com/?q=13.8944,101.9871	1665	43974	703	627	0	0	0
WNA	วัฒนานคร	สระแก้ว	66.41	14.409707	56656.83	33.14	13.534362	16560	14113.048	16	8	50	2	https://maps.google.com/?q=13.7687,102.2423	1633	45385	531	474	0	0	0
WYA	วังน้ำเย็น	สระแก้ว	60.57	12.552304	48832.5	29.59	7.533176	20382	6337.44	14	7	100	2	https://maps.google.com/?q=13.4126,102.1979	1334	34847	280	250	0	0	0
AYA	อยุธยา 1	พระนครศรีอยุธยา	83.61	27.763054	119300.07	6.56	2.8408067	15104	3516.5486	0	0	100	2	https://maps.google.com/?q=14.3631,100.5532	1189	33325	655	583	0	2	0
AYB	อยุธยา 2	พระนครศรีอยุธยา	59.79	18.947529	82989.36	2.34	2.34	1	0.585	0	0	100	2	https://maps.google.com/?q=14.3832,100.6036	886	18928	553	493	0	0	0
BIA	บางปะอิน 1	พระนครศรีอยุธยา	89.229996	27.45008	120227.4	3.6499999	2.6599998	5	1.0374999	0	0	100	2	https://maps.google.com/?q=14.2121,100.5872	1613	28878	852	759	0	1	0
BLS	บ้านลาดทราย	พระนครศรีอยุธยา	101.75	35.976105	157573.05	2.01	2.01	3	0.5025	0	0	100	2	https://maps.google.com/?q=14.2052,100.6647	1102	16905	852	760	0	0	0
BPH	บางพระครู	พระนครศรีอยุธยา	48.46	12.8807	49154.016	7.58	3.9161823	14959	10170.356	14	7	100	2	https://maps.google.com/?q=14.4991,100.5913	292	4602	306	273	0	1	0
BPI	บางปะหัน	พระนครศรีอยุธยา	47.73	10.850997	43992.742	31.18	13.918329	15162	13945.209	13	6.5	100	2	https://maps.google.com/?q=14.5038,100.5193	748	15901	321	287	0	4	0
BSA	บางไทร	พระนครศรีอยุธยา	73.11	24.350643	94858.15	20.7	7.7773943	9625	5571.505	0	0	100	2	https://maps.google.com/?q=14.1781,100.4801	658	10260	288	257	0	3	0
LBL	ลาดบัวหลวง	พระนครศรีอยุธยา	46.2	14.27889	61175.03	15.549999	7.6282873	11541	4438.8843	0	0	100	2	https://maps.google.com/?q=14.1920,100.2916	1100	16542	379	337	0	3	0
NKL	นครหลวง	พระนครศรีอยุธยา	51.670002	17.220972	75416.78	22.509998	16.791348	33	23.57	0	0	100	2	https://maps.google.com/?q=14.4540,100.6679	966	21534	552	492	0	0	0
RCO	โรจนะ 2	พระนครศรีอยุธยา	94.869995	32.56225	140872.47	40.33	25.919298	5489	2035.926	0	0	100	2	https://maps.google.com/?q=14.3052,100.6144	1477	30172	872	777	0	1	0
RCQ	โรจนะ 3	พระนครศรีอยุธยา	24.73	12.761535	53079.344	5.54	2.112956	3637	1438.3284	0	0	100	2	https://maps.google.com/?q=14.3273,100.6683	248	3572	288	258	2	1	0
RCR	โรจนะ 4	พระนครศรีอยุธยา	41.440002	10.421298	45645.28	0	0	0	0	0	0	100	3	https://maps.google.com/?q=14.3437,100.6836	388	6242	242	216	1	0	0
SNA	เสนา	พระนครศรีอยุธยา	81.96	28.81651	125932.62	12.559999	4.6904697	368	46.5675	0	0	100	2	https://maps.google.com/?q=14.3130,100.3981	1757	46376	624	555	0	2	0
WAA	วังน้อย 1	พระนครศรีอยุธยา	102.70999	29.4384	127159.65	14.559999	6.177068	1487	537.27484	0	0	100	2	https://maps.google.com/?q=14.2494,100.7033	1166	24702	573	510	0	2	0
BAK	บางคล้า	ฉะเชิงเทรา	95.490005	31.66209	138679.73	0.83	0.83	1	0.2075	0	0	100	2	https://maps.google.com/?q=13.8552,101.1632	1503	25440	529	472	0	0	0
BAP	บางน้ำเปรี้ยว	ฉะเชิงเทรา	88.68	29.806417	130551.766	1.11	1.11	1	0.2775	0	0	100	2	https://maps.google.com/?q=13.8705,101.1457	1432	28010	492	439	0	0	0
BGR	บางปะกง 3	ฉะเชิงเทรา	45.49	10.2774935	44973.195	6.61	3.5654206	145	37.955	0	0	100	2	https://maps.google.com/?q=13.4839,100.9727	340	7520	261	233	0	0	0
BWA	บางวัว 1	ฉะเชิงเทรา	62.74	21.402885	93738.1	19.089998	15.955714	32	35.525	0	0	100	2	https://maps.google.com/?q=13.5159,100.9824	733	13212	627	560	0	0	0
BWB	บางวัว 2	ฉะเชิงเทรา	58.99	25.940586	113618.24	1.08	1.08	3	0.27	0	0	100	2	https://maps.google.com/?q=13.5271,100.9675	711	18487	499	445	0	0	0
CCA	ฉะเชิงเทรา 1	ฉะเชิงเทรา	97.66999	31.53968	138120.23	0.67999995	0.35095236	45	1.4325	0	0	100	2	https://maps.google.com/?q=13.6253,101.0324	1289	28778	733	654	0	1	0
CCB	ฉะเชิงเทรา 2	ฉะเชิงเทรา	75.68	21.701723	95053.4	2.18	2.18	1	0.545	0	0	100	2	https://maps.google.com/?q=13.6604,101.0879	987	18763	541	483	0	0	0
FYU	แปลงยาว (ช)	ฉะเชิงเทรา	37.989998	17.828417	78013.414	5.48	3.7575116	74	43.972492	0	0	50	1	https://maps.google.com/?q=13.5839,101.2781	911	20911	406	362	0	0	0
KOB	คลองใหม่ 2	ฉะเชิงเทรา	31.66	12.131208	52915.8	3.7400002	1.6030467	678	35.747498	0	0	100	2	https://maps.google.com/?q=13.6080,100.9815	226	2709	286	255	0	0	0
KWA	คลองขวาง 1	ฉะเชิงเทรา	75.600006	17.13964	75071.234	4.7	2.5636363	23	5.7	0	0	100	2	https://maps.google.com/?q=13.7334,101.0253	882	22995	613	547	0	0	0
KWB	คลองขวาง 2	ฉะเชิงเทรา	78.729996	27.402468	119736.11	3.1599998	2.4836924	415	37.051247	0	0	100	2	https://maps.google.com/?q=13.7584,100.9922	686	13122	547	489	0	1	0
PHA	พนมสารคาม	ฉะเชิงเทรา	81.65	36.18901	158343.98	2.27	0.8823855	197	21.7975	0	0	100	2	https://maps.google.com/?q=13.7845,101.5276	1509	34510	532	474	1	3	0
SNK	สนามชัยเขต	ฉะเชิงเทรา	71.310005	23.141665	101359.82	2.83	2.83	1	0.7075	0	0	100	2	https://maps.google.com/?q=13.5772,101.9042	1726	38649	466	416	2	0	0
BAL	บางปลา	สมุทรสาคร	103.17	39.83671	174483.13	2.54	2.2749999	3	1.0525	0	0	100	2	https://maps.google.com/?q=13.5868,100.2473	555	9955	527	471	0	0	0
BNP	บ้านแพ้ว	สมุทรสาคร	94.44999	20.481565	87641.07	11.91	5.6022034	8436	5094.1934	0	0	100	2	https://maps.google.com/?q=13.5665,100.1165	1233	23305	617	551	0	0	0
EKA	เอกชัย 1	สมุทรสาคร	104.049995	43.533794	190658.1	15.459999	9.708611	21	9.0925	0	0	100	2	https://maps.google.com/?q=13.5840,100.3187	832	12441	592	529	0	0	0
EKB	เอกชัย 2	สมุทรสาคร	83.7	23.585636	103170.01	21.77	15.00876	279	249.30249	0	0	100	2	https://maps.google.com/?q=13.5564,100.2863	466	6659	357	318	0	0	0
KTA	กระทุ่มแบน 1	สมุทรสาคร	85.78999	31.349497	137309.58	1.98	1.98	2	0.495	0	0	100	2	https://maps.google.com/?q=13.6447,100.2972	732	12741	604	540	0	0	0
KTD	กระทุ่มแบน 4	สมุทรสาคร	67.38	27.265953	119113.39	3.4899998	3.444292	381	142.22496	0	0	100	2	https://maps.google.com/?q=13.6766,100.2690	417	7295	409	365	0	0	0
KTE	กระทุ่มแบน 5	สมุทรสาคร	99.78999	42.576683	186485.48	3.22	1.8100001	2	0.90500003	0	0	100	2	https://maps.google.com/?q=13.6388,100.2407	1139	19097	760	679	0	0	0
ONA	อ้อมน้อย 1	สมุทรสาคร	96.72	30.598064	134012.25	21.96	18.158333	14	7.119999	0	0	100	2	https://maps.google.com/?q=13.7122,100.3148	551	9068	524	468	0	0	0
ONB	อ้อมน้อย 2	สมุทรสาคร	84.43001	28.777533	126004.69	11.190001	6.4747796	42	7.3625	0	0	100	2	https://maps.google.com/?q=13.6714,100.3079	845	17196	620	553	0	0	0
ONC	อ้อมน้อย 3	สมุทรสาคร	74.07	24.268578	106275.84	18.18	9.544174	759	208.71756	0	0	100	2	https://maps.google.com/?q=13.7060,100.2976	366	9707	397	354	0	0	0
OND	อ้อมน้อย 4	สมุทรสาคร	57.759995	10.98581	48117.848	0	0	0	0	0	0	100	2	https://maps.google.com/?q=13.7163,100.3220	389	9696	246	219	0	0	0
ONU	อ้อมน้อย 5 (ช)	สมุทรสาคร	31.44	5.8934646	25809.615	2.47	2.47	14	0.6475	0	0	50	1	https://maps.google.com/?q=13.6868,100.3266	219	3718	189	169	0	0	0
OYM	อ้อมใหญ่ 4	สมุทรสาคร	0	0	0	0	0	0	0	0	0	100	2	https://maps.google.com/?q=13.7797,100.2709	193	3276	116	104	0	0	0
SAA	สามพราน 1	สมุทรสาคร	109.33	20.844305	91297.84	11.46	11.46	1	2.865	0	0	150	3	https://maps.google.com/?q=13.6908,100.2927	256	4742	274	245	0	0	0
SMA	สมุทรสาคร 1	สมุทรสาคร	83.21001	37.09294	162467.06	0.01	0.01	2	0.005	0	0	150	3	https://maps.google.com/?q=13.5930,100.2827	726	13410	536	478	0	0	0
SMB	สมุทรสาคร 2	สมุทรสาคร	145.18999	46.5733	195649.58	29.53	10.450309	19532	2189.4602	0	0	150	3	https://maps.google.com/?q=13.5418,100.2293	776	8873	737	659	0	0	0
SMD	สมุทรสาคร 4	สมุทรสาคร	85.48	14.383979	63000.785	2.21	1.75	3	0.72999996	0	0	100	2	https://maps.google.com/?q=13.5446,100.2643	282	7607	158	140	0	0	0
SME	สมุทรสาคร 5	สมุทรสาคร	87.560005	39.92037	165030.23	20.89	8.300296	12249	4861.1787	0	0	100	2	https://maps.google.com/?q=13.5094,100.1329	850	10681	644	575	0	0	0
SMF	สมุทรสาคร 6	สมุทรสาคร	112.399994	49.1455	213306.33	17.570002	9.030669	3403	775.44543	0	0	100	2	https://maps.google.com/?q=13.5591,100.3134	1476	27643	750	668	0	1	0
SMG	สมุทรสาคร 7	สมุทรสาคร	74.33	24.189625	105942.914	11.120001	7.9674997	7	2.8175	0	0	100	2	https://maps.google.com/?q=13.5830,100.2919	350	3559	301	269	0	0	0
BKA	บางขันธ์ 1	ปทุมธานี	127.07	39.059975	171075	17.75	12.266667	10	5.2425003	0	0	150	3	https://maps.google.com/?q=14.0587,100.6167	1143	25212	786	701	0	0	0
BMA	บ้านใหม่ 1	ปทุมธานี	70.32	23.995935	105100.96	2.1000001	1.575	4	0.53000003	0	0	100	2	https://maps.google.com/?q=13.9766,100.5691	891	21729	444	394	0	0	0
BMB	บ้านใหม่ 2	ปทุมธานี	66.71	22.614151	99046.7	5.2599998	5.15	4	1.4575	0	0	100	2	https://maps.google.com/?q=13.9920,100.5825	909	20820	448	398	1	0	0
BPN	บางพูน	ปทุมธานี	82.21001	21.535234	94249.56	12.860001	8.320797	116	23.3825	0	0	100	2	https://maps.google.com/?q=13.9751,100.5503	436	9821	299	266	0	0	0
KHC	คลองเจ็ด	ปทุมธานี	100.69	32.090267	140555.34	0	0	0	0	0	0	100	2	https://maps.google.com/?q=14.0355,100.7721	1310	41206	459	407	0	0	0
KHL	คลองสี่	ปทุมธานี	110.479996	35.558857	155743.11	15.58	14.886666	9	4.9225	0	0	100	2	https://maps.google.com/?q=13.9406,100.7111	1265	24313	447	399	0	1	0
KLO	คลองหลวง	ปทุมธานี	117.240005	49.217636	215566.89	8.51	8.426666	5	2.2	0	0	100	2	https://maps.google.com/?q=14.0667,100.7061	2284	36640	1693	1511	0	1	0
KQA	คูคต	ปทุมธานี	59.909996	9.88747	43307.11	0	0	0	0	0	0	100	2	https://maps.google.com/?q=13.9483,100.6854	781	22667	177	158	0	0	0
LAK	ลาดหลุมแก้ว	ปทุมธานี	85.939995	30.672241	131914.69	10.37	4.8648467	3770	1530.123	0	0	100	2	https://maps.google.com/?q=14.0311,100.3856	1347	18586	941	840	0	2	0
LLK	ลำลูกกา 1	ปทุมธานี	107.96	44.51268	194965.53	0	0	0	0	0	0	100	2	https://maps.google.com/?q=13.9473,100.7872	2163	26566	1096	981	0	0	0
MUB	เมืองเอก 2	ปทุมธานี	48.23	17.374931	76101.37	1.63	1.63	1	0.4075	0	0	100	2	https://maps.google.com/?q=13.9724,100.6153	398	11592	238	212	0	0	0
PQA	ปทุมธานี 1	ปทุมธานี	90.850006	33.03382	144449.98	10.8	4.930398	247	32.887497	0	0	100	2	https://maps.google.com/?q=14.0416,100.4744	1133	17886	785	700	0	1	0
PQB	ปทุมธานี 2	ปทุมธานี	77.1	26.841019	117563.516	0.48	0.48	1	0.12	0	0	100	2	https://maps.google.com/?q=13.9563,100.5128	1169	28578	537	477	0	1	0
PQC	ปทุมธานี 3	ปทุมธานี	94.380005	33.095993	144945.67	7.0299997	3.4291666	15	6.25	0	0	100	2	https://maps.google.com/?q=13.9784,100.5243	670	16523	477	425	0	0	0
PQD	ปทุมธานี 4	ปทุมธานี	66.24	20.93724	91703.19	4	2.2399998	4	1.02	0	0	100	2	https://maps.google.com/?q=14.0642,100.5231	1006	15625	526	469	0	0	0
RGA	รังสิต 1	ปทุมธานี	94.72	22.909061	100341.58	3.62	3.62	1	0.905	0	0	100	2	https://maps.google.com/?q=13.9825,100.6185	542	13278	305	271	0	0	0
RSA	รังสิตใต้ 1	ปทุมธานี	102.33	34.229763	149924.25	2.21	2.21	2	0.5525	0	0	100	2	https://maps.google.com/?q=13.9613,100.6429	1050	39048	279	245	0	0	0
SKK	สามโคก	ปทุมธานี	58.93	18.902887	82789.66	12.43	12.43	5	5.11	0	0	100	2	https://maps.google.com/?q=14.1085,100.5708	742	9872	431	385	1	0	0
TMS	ธรรมศาสตร์	ปทุมธานี	81.58001	16.102	70413.96	9.049999	5.1321807	1572	101.0875	0	0	150	3	https://maps.google.com/?q=14.0671,100.6057	1020	23057	625	558	2	0	0
TYA	ธัญบุรี	ปทุมธานี	113.060005	43.33506	189798.55	7.6000004	6.0575	9	2.5	0	0	100	2	https://maps.google.com/?q=13.9978,100.6743	1504	44372	585	518	0	0	0
BRA	บุรีรัมย์ 1	บุรีรัมย์	95.9	33.142685	125255.36	23.01	10.432417	23330	15175.907	35	17.5	100	2	https://maps.google.com/?q=15.0220,103.1081	1970	64905	772	685	0	4	1
BRB	บุรีรัมย์ 2	บุรีรัมย์	63.85	24.260609	102445.36	23.929998	11.082508	4294	2135.5803	0	0	50	1	https://maps.google.com/?q=14.9552,103.0713	1701	56016	633	563	0	0	0
NAR	นางรอง	บุรีรัมย์	26.939999	9.403747	40423.887	15.21	10.6013775	1130	1479.0924	0	0	50	1	https://maps.google.com/?q=14.6244,102.8701	584	22819	200	180	0	1	0
NOK	หนองกี่	บุรีรัมย์	79.71	27.709385	102298.09	30.11	11.915009	27773	18731.547	29	14.5	100	2	https://maps.google.com/?q=14.6967,102.5015	1626	60916	737	659	0	8	0
XTA	สตึก	บุรีรัมย์	27.099998	5.5557213	23141.828	12.6	7.0247993	8177	8071.326	0	0	50	1	https://maps.google.com/?q=15.2715,103.2708	560	24924	140	123	0	0	0
BSG	บ้านสร้าง	ปราจีนบุรี	71.46999	14.951572	58139.508	31.720001	10.737015	19550	9187.508	16	8	100	2	https://maps.google.com/?q=14.0084,101.2450	881	13287	386	345	0	5	0
KBJ	กบินทร์บุรี 2	ปราจีนบุรี	103.520004	35.035034	152171.25	10.87	3.9210167	1092	266.72876	0	0	100	2	https://maps.google.com/?q=14.0226,101.7821	1960	41130	707	634	1	0	0
KBL	กบินทร์บุรี 4	ปราจีนบุรี	38.699997	11.327345	49510.617	9.700001	7.1609583	142	12.775	0	0	100	2	https://maps.google.com/?q=13.9145,101.6521	585	7716	414	370	0	0	0
NSI	นนทรี	ปราจีนบุรี	56.769997	12.255537	47794.06	35.19	10.5214	18771	12495.068	14	7	100	2	https://maps.google.com/?q=14.0105,101.7025	1029	21387	385	345	1	3	0
PAA	ปราจีนบุรี 1	ปราจีนบุรี	85.61	28.98145	125509.71	14.559999	6.942181	3471	941.45575	0	0	100	2	https://maps.google.com/?q=14.1472,101.3179	2011	51506	876	781	0	1	0
PAB	ปราจีนบุรี 2	ปราจีนบุรี	41.49	10.286957	43730.176	9.01	1.2534748	2021	442.13513	0	0	100	2	https://maps.google.com/?q=13.8407,101.5447	582	11555	350	313	1	1	0
PCK	ประจันตคาม	ปราจีนบุรี	38.489998	8.532904	36191.15	9.25	2.7786431	6003	2133.5728	0	0	50	1	https://maps.google.com/?q=14.0985,101.5087	863	24875	229	203	0	2	0
SMP	ศรีมหาโพธิ 1	ปราจีนบุรี	85.990005	33.550686	141960.61	22.32	6.478484	11028	5817.388	39	19.5	100	2	https://maps.google.com/?q=13.9487,101.5129	1736	41164	1037	925	0	5	0
CAA	ชะอำ 1	เพชรบุรี	56.81	17.058548	72359.766	6.92	1.5519829	3224	617.3187	0	0	100	2	https://maps.google.com/?q=12.8150,99.9570	599	12185	275	245	0	2	0
CAB	ชะอำ 2	เพชรบุรี	60.13	20.879862	87491.67	10.8	4.579329	14767	11449.566	24	12	100	2	https://maps.google.com/?q=12.7177,99.9279	1628	31246	936	836	0	2	0
CAC	ชะอำ 3	เพชรบุรี	14.08	6.528919	28596.666	0	0	0	0	0	0	100	2	https://maps.google.com/?q=12.7516,99.9597	379	10687	227	202	0	0	0
CAU	ชะอำ 3 (ช)	เพชรบุรี	33.67	5.850369	25624.617	0	0	0	0	0	0	25	1	https://maps.google.com/?q=12.7521,99.9592	231	5462	153	136	0	0	0
KHY	เขาย้อย 1	เพชรบุรี	68.06	17.455572	70838.53	27.11	12.628871	7148	4080.9287	0	0	100	2	https://maps.google.com/?q=13.2182,99.8181	1021	19166	442	396	0	3	0
KHZ	เขาย้อย 2	เพชรบุรี	77.76	12.977156	47946.016	27.189999	8.845857	28035	12974.463	14	7	100	2	https://maps.google.com/?q=13.2863,99.7869	601	8043	403	361	0	10	0
PBA	เพชรบุรี 1	เพชรบุรี	100.60999	41.76876	182946.11	1.99	1.99	1	0.4975	0	0	100	2	https://maps.google.com/?q=13.0897,99.9421	2420	79031	1155	1030	0	0	2
